,count,mean,std,min,25%,50%,75%,max
site_eui_kwh_m2,243815.0,185.30579249899935,118.7516044542351,3.1545907450391284,102.52419921377168,155.15984659402878,249.84857331253744,3134.995353185979
year_built,242775.0,1967.6162784471219,31.719343558455847,1649.0,1939.0,1972.0,1993.0,2022.0
floor_area_m2,243815.0,8606.986304816397,13965.312395327619,47.008938240000006,234.67307904,4753.569847680001,9645.47232192,185617.20811968
energy_star_rating,148091.0,57.989229595316395,33.30016503611157,0.0,31.0,65.0,88.0,100.0
electric_eui_kwh_m2,222233.0,67.5180397222102,44.294315346105904,0.0,43.85184383170915,59.03627995951188,81.08383699665175,2456.479196515589
fuel_eui_kwh_m2,214860.0,120.73204524836287,111.124385335872,0.0,39.46591880997057,81.0900640950086,192.07867503770532,2953.893687478651
ghg_emissions_m2,227767.0,48.693199471983945,26.274578080530517,0.6330754967759936,31.30312201785862,45.72890712941148,61.06832444826347,886.2827563672836
population,243310.0,42986.02406806132,23865.060517359776,28.0,25396.0,34193.0,58597.0,116469.0
electricity_fuel_ratio,198334.0,226.13877955979817,42961.951230518986,0.0,0.27065024885441413,0.6996292519052456,1.420070492103828,11168814.29544955
age_floor_area,242775.0,403185.52080158715,721749.0240770881,0.0,7046.602680960001,212976.13146624,500101.89527808,17859680.4096
age_2,242775.0,3419.928468746782,3871.7089289821674,0.0,441.0,1849.0,6084.0,138384.0
energy_star_rating_2,148091.0,4471.64425252041,3484.090577916954,0.0,961.0,4225.0,7744.0,10000.0
