id,year,zip_code,city,state,request_type,request_id,count,requests,cumulative_sum
100012,2018,78704,Austin,TX,city,CITY:US480005,4862.0,5.0,5.0
100012,2019,78704,Austin,TX,city,CITY:US480005,4714.0,5.0,10.0
291968,2019,78617,Del Valle,TX,county,FIPS:48453,5164.0,6.0,16.0
292568,2018,78617,Del Valle,TX,county,FIPS:48453,5383.0,6.0,22.0
810714,2019,78652,Manchaca,TX,county,FIPS:48209,4111.0,5.0,27.0
874334,2019,78660,Pflugerville,TX,county,FIPS:48491,4120.0,5.0,32.0
100,2011,Unknown,Unknown,AZ,county,FIPS:48453,5211.0,6.0,38.0
11,2011,Unknown,Unknown,AR,county,FIPS:48491,3810.0,4.0,42.0
128,2011,Unknown,Unknown,MI,county,FIPS:48209,2338.0,3.0,45.0
280,2011,Unknown,Unknown,NY,state,FIPS:36,66685.0,67.0,112.0
286,2011,Unknown,Unknown,TX,state,FIPS:48,217959.0,218.0,330.0
287,2011,Unknown,Unknown,VA,state,FIPS:51,50276.0,51.0,381.0
288,2011,Unknown,Unknown,MA,state,FIPS:25,24142.0,25.0,406.0
29,2011,Unknown,Unknown,WI,state,FIPS:55,75174.0,76.0,482.0
292,2011,Unknown,Unknown,MI,state,FIPS:26,78812.0,79.0,561.0
296,2011,Unknown,Unknown,GA,state,FIPS:13,55376.0,56.0,617.0
30,2011,Unknown,Unknown,MN,state,FIPS:27,69307.0,70.0,687.0
31,2011,Unknown,Unknown,LA,state,FIPS:22,37753.0,38.0,725.0
317,2011,Unknown,Unknown,NJ,state,FIPS:34,24349.0,25.0,750.0
319,2011,Unknown,Unknown,DC,state,FIPS:11,624.0,1.0,751.0
32,2011,Unknown,Unknown,FL,state,FIPS:12,78611.0,79.0,830.0
323,2011,Unknown,Unknown,CA,state,FIPS:06,182253.0,183.0,1013.0
324,2011,Unknown,Unknown,IL,state,FIPS:17,83023.0,84.0,1097.0
330,2011,Unknown,Unknown,TN,state,FIPS:47,68114.0,69.0,1166.0
331,2011,Unknown,Unknown,PA,state,FIPS:42,62058.0,63.0,1229.0
332,2011,Unknown,Unknown,WV,state,FIPS:54,31304.0,32.0,1261.0
336,2011,Unknown,Unknown,AL,state,FIPS:01,51232.0,52.0,1313.0
342,2011,Unknown,Unknown,NE,state,FIPS:31,106217.0,107.0,1420.0
352,2011,Unknown,Unknown,NH,state,FIPS:33,21994.0,22.0,1442.0
355,2011,Unknown,Unknown,OR,state,FIPS:41,113877.0,114.0,1556.0
360,2011,Unknown,Unknown,RI,state,FIPS:44,4429.0,5.0,1561.0
361,2011,Unknown,Unknown,NC,state,FIPS:37,80605.0,81.0,1642.0
368,2011,Unknown,Unknown,NV,state,FIPS:32,53554.0,54.0,1696.0
369,2011,Unknown,Unknown,CT,state,FIPS:09,8589.0,9.0,1705.0
371,2011,Unknown,Unknown,MD,state,FIPS:24,20223.0,21.0,1726.0
399,2011,Unknown,Unknown,IN,state,FIPS:18,63817.0,64.0,1790.0
4,2011,Unknown,Unknown,AR,state,FIPS:05,44619.0,45.0,1835.0
408,2011,Unknown,Unknown,DE,state,FIPS:10,3221.0,4.0,1839.0
411,2011,Unknown,Unknown,OH,state,FIPS:39,47070.0,48.0,1887.0
42,2011,Unknown,Unknown,CO,state,FIPS:08,172448.0,173.0,2060.0
430,2011,Unknown,Unknown,MO,state,FIPS:29,75699.0,76.0,2136.0
466,2011,Unknown,Unknown,ID,state,FIPS:16,80371.0,81.0,2217.0
472,2011,Unknown,Unknown,UT,state,FIPS:49,87891.0,88.0,2305.0
499,2011,Unknown,Unknown,AZ,state,FIPS:04,93100.0,94.0,2399.0
538,2011,Unknown,Unknown,WA,state,FIPS:53,87723.0,88.0,2487.0
608,2011,Unknown,Unknown,KY,state,FIPS:21,41125.0,42.0,2529.0
610,2011,Unknown,Unknown,SC,state,FIPS:45,38594.0,39.0,2568.0
636,2011,Unknown,Unknown,KS,state,FIPS:20,87178.0,88.0,2656.0
648,2011,Unknown,Unknown,OK,state,FIPS:40,59762.0,60.0,2716.0
681,2011,Unknown,Unknown,NM,state,FIPS:35,79579.0,80.0,2796.0
94,2011,Unknown,Unknown,ME,state,FIPS:23,33448.0,34.0,2830.0
1280,2015,98134,Seattle,WA,city,CITY:US530018,10263.0,11.0,2841.0
1280,2016,98134,Seattle,WA,city,CITY:US530018,9998.0,10.0,2851.0
1280,2017,98134,Seattle,WA,city,CITY:US530018,10148.0,11.0,2862.0
1280,2018,98134,Seattle,WA,city,CITY:US530018,10144.0,11.0,2873.0
1280,2019,98134,Seattle,WA,city,CITY:US530018,9911.0,10.0,2883.0
1280,2020,98134,Seattle,WA,city,CITY:US530018,11676.0,12.0,2895.0
1280,2021,98134,Seattle,WA,city,CITY:US530018,11995.0,12.0,2907.0
1280,2022,98134,Seattle,WA,city,CITY:US530018,11853.0,12.0,2919.0
100016,2018,60201,Evanston,IL,county,FIPS:53033,9207.0,10.0,2929.0
100016,2019,60201,Evanston,IL,county,FIPS:53033,9001.0,10.0,2939.0
108426,2018,60602,Chicago,IL,city,CITY:US170006,11704.0,12.0,2951.0
109505,2019,60201,Evanston,IL,county,FIPS:17031,6359.0,7.0,2958.0
109653,2018,60201,Evanston,IL,county,FIPS:17031,6825.0,7.0,2965.0
1050,2016,80239,Denver,CO,city,CITY:US080004,24983.0,25.0,2990.0
1050,2017,80239,Denver,CO,city,CITY:US080004,24319.0,25.0,3015.0
1050,2018,80239,Denver,CO,city,CITY:US080004,24241.0,25.0,3040.0
1050,2019,80239,Denver,CO,city,CITY:US080004,23366.0,24.0,3064.0
1050,2020,80239,Denver,CO,city,CITY:US080004,25363.0,26.0,3090.0
1050,2021,80239,Denver,CO,city,CITY:US080004,26758.0,27.0,3117.0
1050,2022,80239,Denver,CO,city,CITY:US080004,26402.0,27.0,3144.0
1991,2016,80120,Littleton,CO,state,FIPS:08,175882.0,176.0,3320.0
1991,2017,80120,Littleton,CO,state,FIPS:08,177881.0,178.0,3498.0
1991,2018,80120,Littleton,CO,state,FIPS:08,181982.0,182.0,3680.0
1991,2019,80120,Littleton,CO,state,FIPS:08,179896.0,180.0,3860.0
1991,2020,80120,Littleton,CO,state,FIPS:08,188419.0,189.0,4049.0
1991,2021,80120,Littleton,CO,state,FIPS:08,190809.0,191.0,4240.0
1991,2022,80120,Littleton,CO,state,FIPS:08,188541.0,189.0,4429.0
5551,2016,80903,Colorado Springs,CO,city,CITY:US080003,5789.0,6.0,4435.0
5551,2017,80903,Colorado Springs,CO,city,CITY:US080003,6235.0,7.0,4442.0
5551,2018,80903,Colorado Springs,CO,city,CITY:US080003,6824.0,7.0,4449.0
5551,2019,80903,Colorado Springs,CO,city,CITY:US080003,6619.0,7.0,4456.0
5551,2020,80903,Colorado Springs,CO,city,CITY:US080003,6903.0,7.0,4463.0
5551,2021,80903,Colorado Springs,CO,city,CITY:US080003,7083.0,8.0,4471.0
5551,2022,80903,Colorado Springs,CO,city,CITY:US080003,6511.0,7.0,4478.0
CB146,2016,Unknown,Boulder,CO,city,CITY:US080001,9069.0,10.0,4488.0
CB146,2017,Unknown,Boulder,CO,city,CITY:US080001,10317.0,11.0,4499.0
CB146,2018,Unknown,Boulder,CO,city,CITY:US080001,11511.0,12.0,4511.0
B1001,2015,Unknown,Cambridge,MA,state,FIPS:25,28382.0,29.0,4540.0
B1001,2016,Unknown,Cambridge,MA,state,FIPS:25,30485.0,31.0,4571.0
B1001,2017,Unknown,Cambridge,MA,state,FIPS:25,33269.0,34.0,4605.0
B1001,2018,Unknown,Cambridge,MA,state,FIPS:25,34135.0,35.0,4640.0
B1001,2019,Unknown,Cambridge,MA,state,FIPS:25,36873.0,37.0,4677.0
B1001,2020,Unknown,Cambridge,MA,state,FIPS:25,39325.0,40.0,4717.0
